Variable,Category,Count,Percentage
partyid_3cat,0.0,2878,49.14
partyid_3cat,1.0,1055,18.01
partyid_3cat,2.0,1924,32.85
sex,1.0,2597,44.34
sex,2.0,3260,55.66
race,1.0,4434,75.7
race,2.0,879,15.01
race,3.0,544,9.29
degree,0.0,867,14.8
degree,1.0,2900,49.51
degree,2.0,455,7.77
degree,3.0,1039,17.74
degree,4.0,595,10.16
degree,,1,0.02
wrkstat,1.0,2748,46.92
wrkstat,2.0,647,11.05
wrkstat,3.0,124,2.12
wrkstat,4.0,311,5.31
wrkstat,5.0,978,16.7
wrkstat,6.0,206,3.52
wrkstat,7.0,662,11.3
wrkstat,8.0,175,2.99
wrkstat,,6,0.1
abany,1.0,1580,26.98
abany,2.0,2078,35.48
abany,,2199,37.54
gunlaw,1.0,2846,48.59
gunlaw,2.0,913,15.59
gunlaw,,2098,35.82
natfare,1.0,660,11.27
natfare,2.0,998,17.04
natfare,3.0,1155,19.72
natfare,,3044,51.97
natenvir,1.0,1730,29.54
natenvir,2.0,821,14.02
natenvir,3.0,292,4.99
natenvir,,3014,51.46
eqwlth,1.0,866,14.79
eqwlth,2.0,343,5.86
eqwlth,3.0,635,10.84
eqwlth,4.0,717,12.24
eqwlth,5.0,529,9.03
eqwlth,6.0,263,4.49
eqwlth,7.0,565,9.65
eqwlth,,1939,33.11
relig,1.0,2857,48.78
relig,2.0,1369,23.37
relig,3.0,102,1.74
relig,4.0,1030,17.59
relig,5.0,51,0.87
relig,6.0,37,0.63
relig,7.0,20,0.34
relig,8.0,11,0.19
relig,9.0,35,0.6
relig,10.0,24,0.41
relig,11.0,266,4.54
relig,12.0,9,0.15
relig,13.0,26,0.44
relig,,20,0.34
reliten,1.0,2086,35.62
reliten,2.0,2135,36.45
reliten,3.0,426,7.27
reliten,4.0,1031,17.6
reliten,,179,3.06
attend,0.0,1333,22.76
attend,1.0,388,6.62
attend,2.0,804,13.73
attend,3.0,624,10.65
attend,4.0,414,7.07
attend,5.0,502,8.57
attend,6.0,254,4.34
attend,7.0,1087,18.56
attend,8.0,434,7.41
attend,,17,0.29
polviews,1.0,218,3.72
polviews,2.0,725,12.38
polviews,3.0,648,11.06
polviews,4.0,2137,36.49
polviews,5.0,786,13.42
polviews,6.0,903,15.42
polviews,7.0,202,3.45
polviews,,238,4.06
