variable,VIF,removed
polviews_4.0,2.3284383895130825,False
natfare_3.0,2.227203198415928,False
natfare_2.0,2.149397237019837,False
polviews_6.0,2.0113276613004207,False
age,1.8498509893375505,False
educ,1.827537580520511,False
polviews_5.0,1.7544352497337898,False
attend_7.0,1.7101155350875847,False
wrkstat_5.0,1.6720897174937135,False
degree_4.0,1.656405668402505,False
polviews_2.0,1.6380221684736784,False
relig_4.0,1.5913160264669326,False
wrkstat_2.0,1.558978620971887,False
hrs1,1.547937279625865,False
attend_8.0,1.3801332876851256,False
attend_3.0,1.371944163513344,False
attend_2.0,1.3578894854101713,False
attend_5.0,1.355091161700384,False
degree_1.0,1.3478588312801705,False
sei,1.3358857001228788,False
polviews_7.0,1.2795516450234343,False
attend_4.0,1.2668242565638774,False
relig_2.0,1.2562689140425205,False
eqwlth_7.0,1.2022279506726496,False
attend_6.0,1.196160044878419,False
degree_2.0,1.1934872827486034,False
race_2.0,1.1791192969541342,False
race_3.0,1.1721987736105384,False
income,1.1614298771129243,False
abany_2.0,1.155840493033754,False
eqwlth_4.0,1.1372614664832976,False
eqwlth_3.0,1.1367388201419515,False
natenvir_2.0,1.1203530660432246,False
eqwlth_5.0,1.1202047965736375,False
wrkstat_6.0,1.1076555073543382,False
eqwlth_6.0,1.1012853786056067,False
sex_2.0,1.0946613791868904,False
eqwlth_2.0,1.0868706138547688,False
gunlaw_2.0,1.0788872991054486,False
relig_11.0,1.0742116467071736,False
relig_3.0,1.0656082176207595,False
natenvir_3.0,1.0637330351819272,False
relig_7.0,1.0624277527826722,False
wrkstat_8.0,1.0605121345093145,False
relig_6.0,1.0476654283232953,False
reliten_3.0,1.0336133603310251,False
relig_9.0,1.0314853496934646,False
relig_5.0,1.0314273898962298,False
wrkstat_3.0,1.0247393185434897,False
relig_12.0,1.0166546953560787,False
relig_10.0,1.016422418276712,False
relig_8.0,1.0148406991984313,False
relig_13.0,1.013445001487463,False
reliten_4.0,1.0118139837650044,True
degree_3.0,1.0077281267639704,True
